"filename", "language", "C++", "CMake", "C", "JSON", "CMake Cache", "Dart", "Markdown", "YAML", "XML", "Swift", "HTML", "Gradle", "Properties", "comment", "blank", "total"
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\screen\home_screen.dart", "Dart", 0, 0, 0, 0, 0, 288, 0, 0, 0, 0, 0, 0, 0, 4, 17, 309
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\screen\meeting_screen.dart", "Dart", 0, 0, 0, 0, 0, 456, 0, 0, 0, 0, 0, 0, 0, 30, 49, 535
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\service\database_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\service\meeting_api.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 1, 4, 24
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\connection.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\meeting.dart", "Dart", 0, 0, 0, 0, 0, 335, 0, 0, 0, 0, 0, 0, 0, 3, 39, 377
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\message_format.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\message_payload.dart", "Dart", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\payload_data.dart", "Dart", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 0, 0, 0, 0, 36, 177
"c:\Users\Kemal\Desktop\Flutter Projects\CheatClassification\scmeet\lib\webrtc\peer_connection.dart", "Dart", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 3, 18, 132
